EmployeeNumber,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,AttritionFlag,TenureBand,IncomeBand,JobSatisfactionLabel,WorkLifeBalanceLabel
661,41,No,Travel_Rarely,584,Research & Development,5,2,Life Sciences,3,Male,39,2,4,Research Director,2.0,Married,12935.0,15731,1,No,11,3,3,0,17,1,3,12.0,7,2,6,0,10+ yrs,10K-15K,Medium,Better
662,36,No,Non-Travel,858,Sales,9,3,Life Sciences,3,Female,39,2,5,Sales Executive,2.0,Single,10361.0,22289,3,No,17,3,4,2,12,1,1,9.0,7,0,6,0,7-10 yrs,10K-15K,Medium,Bad
663,38,No,Travel_Rarely,1399,Sales,1,4,Medical,1,Male,76,3,2,Sales Executive,4.0,Single,3889.0,19052,1,No,18,4,4,2,17,6,3,5.0,5,2,3,0,4-6 yrs,3K-6K,Very High,Better
664,21,Yes,Travel_Rarely,1138,Research & Development,24,4,Life Sciences,3,Male,53,3,2,Manager,4.0,Single,4716.0,3438,5,No,11,3,3,1,0,0,2,0.0,0,0,0,1,0-1 yrs,3K-6K,Very High,Good
665,27,No,Travel_Rarely,1373,Research & Development,19,3,Medical,3,Male,37,3,2,Laboratory Technician,3.0,Single,5857.0,12107,0,No,14,3,3,2,6,2,4,6.0,6,3,2,0,4-6 yrs,3K-6K,High,Best
666,33,No,Travel_Rarely,180,Sales,16,1,Technical Degree,4,Male,90,3,2,Sales Representative,4.0,Single,8435.0,18236,5,No,15,4,2,1,13,2,3,6.0,5,3,3,0,4-6 yrs,6K-10K,Very High,Better
667,30,No,Travel_Rarely,553,Research & Development,3,4,Marketing,2,Male,57,3,4,Manager,4.0,Married,5942.0,25913,1,No,16,4,3,1,8,3,4,6.0,2,1,5,0,4-6 yrs,3K-6K,Very High,Best
668,40,No,Travel_Rarely,910,Research & Development,7,4,Human Resources,3,Male,83,3,4,Research Director,4.0,Married,7745.0,24969,1,No,11,3,1,1,16,3,2,7.0,7,1,7,0,7-10 yrs,6K-10K,Very High,Good
669,32,No,Travel_Rarely,1363,Research & Development,6,2,Technical Degree,4,Male,54,3,4,Manager,3.0,Married,11078.0,5671,2,No,13,3,4,1,12,3,4,9.0,8,4,2,0,7-10 yrs,10K-15K,High,Best
670,36,No,Travel_Rarely,1424,Sales,6,2,Marketing,1,Female,37,2,2,Sales Executive,1.0,Married,4449.0,3474,3,No,15,3,1,0,12,5,3,8.0,3,2,3,0,7-10 yrs,3K-6K,Low,Better
671,49,No,Travel_Rarely,1029,Research & Development,6,3,Human Resources,4,Male,34,3,2,Manufacturing Director,2.0,Divorced,3746.0,10445,3,Yes,14,3,3,1,26,0,3,8.0,2,4,4,0,7-10 yrs,3K-6K,Medium,Better
672,40,No,Non-Travel,409,Sales,1,3,Life Sciences,3,Female,62,3,5,Sales Representative,4.0,Married,11698.0,11514,3,No,11,3,3,0,16,2,2,7.0,3,3,4,0,7-10 yrs,10K-15K,Very High,Good
673,45,No,Travel_Rarely,544,Research & Development,6,2,Technical Degree,4,Male,82,3,2,Manufacturing Director,3.0,Married,4179.0,6403,3,Yes,17,3,1,1,24,5,3,9.0,7,3,1,0,7-10 yrs,3K-6K,High,Better
674,49,No,Non-Travel,447,Research & Development,1,3,Life Sciences,2,Male,58,3,2,Laboratory Technician,3.0,Married,7757.0,23259,5,No,11,4,3,1,27,3,3,7.0,5,2,4,0,7-10 yrs,6K-10K,High,Better
675,32,Yes,Travel_Rarely,1331,Research & Development,1,2,Other,2,Female,35,3,2,Manufacturing Director,4.0,Married,6164.0,2017,1,Yes,20,4,4,1,12,4,4,10.0,6,3,5,1,7-10 yrs,6K-10K,Very High,Best
676,45,Yes,Travel_Frequently,594,Sales,2,2,Marketing,4,Male,36,3,3,Sales Representative,3.0,Divorced,5660.0,20512,3,Yes,17,3,4,0,23,2,3,8.0,5,5,3,1,7-10 yrs,3K-6K,High,Better
677,43,No,Travel_Frequently,1218,Research & Development,19,3,Medical,2,Male,69,3,3,Healthcare Representative,4.0,Married,11242.0,11505,3,No,18,3,4,0,23,3,2,5.0,0,3,3,0,4-6 yrs,10K-15K,Very High,Good
678,35,No,Travel_Rarely,1489,Research & Development,2,3,Medical,4,Male,35,4,3,Research Scientist,4.0,Married,8591.0,23857,3,No,13,3,4,0,14,6,2,6.0,5,1,5,0,4-6 yrs,6K-10K,Very High,Good
679,27,No,Travel_Rarely,1464,Research & Development,3,3,Life Sciences,4,Female,80,2,2,Manufacturing Director,1.0,Divorced,4908.0,26822,7,Yes,11,3,4,1,4,2,3,4.0,3,2,2,0,4-6 yrs,3K-6K,Low,Better
680,43,No,Travel_Rarely,186,Research & Development,10,2,Medical,3,Female,72,1,4,Research Scientist,3.0,Married,12044.0,14910,0,No,11,4,2,2,23,3,2,9.0,4,4,4,0,7-10 yrs,10K-15K,High,Good
681,38,No,Travel_Rarely,1110,Research & Development,7,3,Marketing,2,Female,99,3,2,Manager,2.0,Married,4806.0,20778,1,No,11,3,2,1,17,4,3,11.0,6,1,2,0,10+ yrs,3K-6K,Medium,Better
682,46,No,Travel_Frequently,1013,Sales,9,2,Life Sciences,3,Male,55,3,2,Manager,2.0,Divorced,6915.0,19835,2,No,17,3,3,1,25,6,3,8.0,4,1,6,0,7-10 yrs,6K-10K,Medium,Better
683,30,Yes,Travel_Rarely,301,Research & Development,10,2,Life Sciences,1,Female,76,3,4,Research Scientist,3.0,Divorced,11701.0,22245,1,No,19,3,4,1,9,3,3,7.0,4,3,7,1,7-10 yrs,10K-15K,High,Better
684,45,Yes,Travel_Rarely,682,Sales,3,3,Human Resources,4,Female,71,3,2,Sales Executive,3.0,Single,10473.0,13557,4,No,15,3,3,0,21,4,4,4.0,3,0,4,1,4-6 yrs,10K-15K,High,Best
685,25,No,Travel_Rarely,1154,Research & Development,1,3,Marketing,2,Female,93,3,2,Laboratory Technician,2.0,Married,6352.0,15697,5,No,11,3,2,2,3,2,3,3.0,2,3,3,0,2-3 yrs,6K-10K,Medium,Better
686,39,No,Travel_Rarely,969,Research & Development,3,2,Life Sciences,4,Male,85,3,5,Research Director,2.0,Married,14401.0,19474,3,No,19,3,4,3,18,2,1,4.0,3,3,2,0,4-6 yrs,10K-15K,Medium,Bad
687,51,No,Travel_Rarely,1311,Research & Development,5,4,Life Sciences,3,Male,80,3,4,Manufacturing Director,1.0,Single,9812.0,5481,3,No,12,4,4,1,27,2,1,10.0,5,2,4,0,7-10 yrs,6K-10K,Low,Bad
688,23,No,Travel_Rarely,1165,Sales,1,3,Life Sciences,4,Male,82,3,3,Sales Executive,4.0,Married,8639.0,8054,3,No,11,3,3,1,0,6,3,0.0,0,0,0,0,0-1 yrs,6K-10K,Very High,Better
689,43,No,Travel_Rarely,1096,Research & Development,16,3,Marketing,2,Female,76,2,5,Laboratory Technician,1.0,Single,9933.0,13982,2,No,19,3,3,1,22,2,3,8.0,8,0,3,0,7-10 yrs,6K-10K,Low,Better
690,52,No,Travel_Rarely,230,Sales,15,2,Medical,2,Male,36,3,2,Manager,3.0,Single,8551.0,16333,2,Yes,13,3,3,0,30,4,2,6.0,3,2,4,0,4-6 yrs,6K-10K,High,Good
691,21,Yes,Travel_Frequently,483,Research & Development,12,2,Medical,3,Female,40,3,4,Laboratory Technician,2.0,Married,13584.0,22435,4,No,17,3,1,0,0,5,2,0.0,0,0,0,1,0-1 yrs,10K-15K,Medium,Good
692,33,No,Travel_Rarely,375,Research & Development,9,4,Life Sciences,3,Male,75,2,2,Research Scientist,4.0,Divorced,8571.0,10764,2,No,11,4,2,2,11,5,2,11.0,1,4,5,0,10+ yrs,6K-10K,Very High,Good
693,22,No,Travel_Rarely,392,Research & Development,11,3,Life Sciences,1,Male,38,2,3,Research Director,2.0,Single,6640.0,22760,0,Yes,13,3,1,0,0,3,3,0.0,0,0,0,0,0-1 yrs,6K-10K,Medium,Better
694,42,No,Travel_Rarely,424,Research & Development,20,4,Marketing,2,Female,87,1,3,Manufacturing Director,4.0,Divorced,9436.0,12488,4,No,11,3,4,1,21,2,2,12.0,5,2,1,0,10+ yrs,6K-10K,Very High,Good
695,37,No,Travel_Rarely,1048,Research & Development,7,2,Technical Degree,2,Male,57,3,5,Research Director,4.0,Married,12316.0,6994,3,No,11,3,4,0,17,4,3,9.0,3,1,3,0,7-10 yrs,10K-15K,Very High,Better
696,20,No,Travel_Rarely,168,Research & Development,1,3,Medical,4,Female,55,2,3,Manufacturing Director,4.0,Married,8690.0,8708,0,Yes,15,3,2,1,0,4,2,0.0,0,0,0,0,0-1 yrs,6K-10K,Very High,Good
697,25,No,Travel_Frequently,890,Research & Development,2,3,Marketing,1,Female,76,2,3,Laboratory Technician,2.0,Married,5820.0,23841,2,No,16,3,2,0,4,1,3,2.0,2,1,2,0,2-3 yrs,3K-6K,Medium,Better
698,32,No,Travel_Rarely,952,Research & Development,6,3,Medical,3,Female,34,3,2,Research Scientist,3.0,Married,3014.0,15848,1,No,11,3,4,1,9,3,3,7.0,4,1,2,0,7-10 yrs,3K-6K,High,Better
699,46,No,Travel_Frequently,1097,Sales,8,4,Marketing,2,Male,74,2,5,Manager,2.0,Married,9285.0,20310,1,No,18,3,3,1,22,3,3,10.0,3,2,1,0,7-10 yrs,6K-10K,Medium,Better
700,32,No,Travel_Rarely,659,Research & Development,5,2,Technical Degree,3,Female,44,3,3,Healthcare Representative,1.0,Married,7916.0,9709,3,Yes,13,3,3,0,12,3,3,11.0,5,1,1,0,10+ yrs,6K-10K,Low,Better
701,24,No,Non-Travel,1354,Research & Development,18,3,Marketing,4,Female,74,4,3,Manager,4.0,Married,10618.0,15155,3,No,11,3,4,1,4,3,4,4.0,4,3,4,0,4-6 yrs,10K-15K,Very High,Best
702,26,Yes,Travel_Rarely,640,Research & Development,7,4,Life Sciences,1,Male,44,3,2,Manager,3.0,Single,6702.0,11168,0,No,11,4,2,0,5,3,2,5.0,4,4,4,1,4-6 yrs,6K-10K,High,Good
703,52,No,Travel_Rarely,1169,Research & Development,1,3,Medical,3,Male,54,4,2,Manufacturing Director,4.0,Single,7462.0,4144,3,No,13,3,1,1,28,6,3,5.0,4,3,5,0,4-6 yrs,6K-10K,Very High,Better
704,35,No,Travel_Rarely,266,Research & Development,1,2,Technical Degree,3,Male,53,3,4,Research Director,3.0,Married,12353.0,3002,1,No,22,3,3,1,15,1,4,8.0,6,5,3,0,7-10 yrs,10K-15K,High,Best
705,35,No,Travel_Rarely,1330,Sales,6,5,Marketing,2,Male,53,1,3,Sales Executive,4.0,Divorced,8612.0,18861,3,No,14,4,3,1,13,3,3,12.0,5,0,7,0,10+ yrs,6K-10K,Very High,Better
706,32,No,Travel_Rarely,176,Sales,14,3,Life Sciences,3,Female,98,2,2,Manager,2.0,Single,8926.0,8367,2,Yes,14,3,1,2,8,2,4,6.0,2,3,5,0,4-6 yrs,6K-10K,Medium,Best
707,44,No,Travel_Rarely,246,Research & Development,20,2,Life Sciences,3,Male,81,4,4,Manager,2.0,Divorced,9964.0,19730,4,No,11,3,3,0,23,1,4,6.0,3,0,4,0,4-6 yrs,6K-10K,Medium,Best
708,39,No,Travel_Frequently,234,Research & Development,3,4,Life Sciences,3,Male,43,2,3,Healthcare Representative,3.0,Married,9329.0,8589,5,Yes,17,3,3,1,15,1,3,4.0,1,0,3,0,4-6 yrs,6K-10K,High,Better
709,57,No,Travel_Rarely,470,Research & Development,4,3,Human Resources,1,Male,68,3,3,Research Scientist,2.0,Married,6522.0,20779,4,No,11,3,3,1,36,0,3,9.0,3,2,3,0,7-10 yrs,6K-10K,Medium,Better
710,47,Yes,Travel_Rarely,1078,Sales,5,2,Medical,3,Male,85,3,5,Manager,3.0,Married,12612.0,7690,2,No,16,3,2,0,27,0,3,10.0,9,1,3,1,7-10 yrs,10K-15K,High,Better
711,35,No,Travel_Frequently,638,Sales,4,4,Technical Degree,2,Male,78,1,4,Manager,3.0,Single,12154.0,26657,2,Yes,14,3,4,2,11,2,3,9.0,3,1,7,0,7-10 yrs,10K-15K,High,Better
712,36,No,Travel_Rarely,1433,Research & Development,3,4,Life Sciences,4,Male,69,2,3,Research Scientist,4.0,Married,7648.0,4176,1,No,12,3,1,1,14,6,3,3.0,3,0,2,0,2-3 yrs,6K-10K,Very High,Better
713,35,Yes,Non-Travel,354,Research & Development,3,3,Other,1,Male,56,2,2,Manager,4.0,Divorced,7475.0,10542,0,Yes,11,3,3,2,14,4,3,5.0,4,5,5,1,4-6 yrs,6K-10K,Very High,Better
714,36,No,Travel_Rarely,1313,Sales,1,3,Life Sciences,4,Female,92,3,1,Sales Executive,2.0,Divorced,5771.0,13173,1,No,14,3,4,2,16,4,3,3.0,3,0,1,0,2-3 yrs,3K-6K,Medium,Better
715,42,No,Travel_Rarely,906,Sales,23,2,Life Sciences,3,Female,94,3,5,Sales Executive,4.0,Married,12347.0,21413,1,No,18,3,3,0,19,1,3,11.0,2,1,3,0,10+ yrs,10K-15K,Very High,Better
716,42,No,Travel_Frequently,308,Sales,12,4,Human Resources,3,Female,65,2,4,Manager,3.0,Single,8842.0,24377,2,No,17,3,3,0,21,2,3,8.0,5,2,4,0,7-10 yrs,6K-10K,High,Better
717,46,No,Travel_Frequently,606,Research & Development,1,2,Medical,3,Male,89,3,5,Laboratory Technician,4.0,Single,13547.0,25377,5,Yes,14,3,3,2,25,2,2,9.0,2,4,5,0,7-10 yrs,10K-15K,Very High,Good
718,38,No,Travel_Frequently,894,Research & Development,15,4,Marketing,3,Female,62,3,1,Healthcare Representative,3.0,Married,2549.0,6787,2,Yes,11,4,2,0,17,6,4,9.0,2,3,1,0,7-10 yrs,Below 3K,High,Best
719,43,No,Travel_Rarely,636,Research & Development,7,3,Life Sciences,3,Male,88,3,5,Research Scientist,4.0,Single,12816.0,3749,2,No,22,3,4,1,20,2,2,8.0,4,3,3,0,7-10 yrs,10K-15K,Very High,Good
720,30,No,Travel_Rarely,788,Sales,17,1,Medical,4,Male,31,3,1,Sales Executive,1.0,Divorced,4085.0,23709,5,No,17,3,1,0,7,1,4,7.0,2,2,3,0,7-10 yrs,3K-6K,Low,Best
721,43,No,Travel_Rarely,950,Research & Development,9,4,Medical,4,Female,57,3,1,Research Director,3.0,Divorced,1202.0,19642,4,Yes,16,4,2,0,23,3,3,8.0,4,2,6,0,7-10 yrs,Below 3K,High,Better
722,28,No,Travel_Rarely,1448,Sales,1,3,Technical Degree,2,Male,47,3,4,Manager,2.0,Married,9925.0,21740,3,No,13,3,1,3,7,4,2,7.0,4,3,5,0,7-10 yrs,6K-10K,Medium,Good
723,31,No,Travel_Rarely,587,Research & Development,1,2,Medical,1,Male,67,3,4,Research Scientist,2.0,Single,10966.0,7139,3,No,11,3,1,0,11,3,4,7.0,6,1,7,0,7-10 yrs,10K-15K,Medium,Best
724,33,No,Travel_Rarely,611,Human Resources,1,3,Life Sciences,4,Female,48,3,4,Human Resources,4.0,Married,13230.0,25163,4,No,11,3,3,0,11,2,3,8.0,3,5,3,0,7-10 yrs,10K-15K,Very High,Better
725,29,No,Travel_Rarely,1298,Research & Development,3,3,Medical,4,Male,82,3,3,Healthcare Representative,3.0,Married,9276.0,23029,2,Yes,11,3,4,0,7,4,2,7.0,4,3,1,0,7-10 yrs,6K-10K,High,Good
726,36,Yes,Non-Travel,1293,Research & Development,22,5,Life Sciences,4,Female,63,2,4,Research Scientist,4.0,Single,9165.0,6614,2,No,16,3,3,1,15,3,2,10.0,5,3,4,1,7-10 yrs,6K-10K,Very High,Good
727,33,Yes,Non-Travel,975,Research & Development,14,4,Other,4,Male,85,3,2,Manufacturing Director,2.0,Single,7111.0,8143,3,Yes,12,3,3,1,10,4,3,10.0,1,1,7,1,7-10 yrs,6K-10K,Medium,Better
728,21,No,Travel_Rarely,516,Research & Development,10,4,Marketing,3,Female,60,1,1,Research Scientist,4.0,Single,3978.0,4331,4,No,21,3,4,1,0,3,3,0.0,0,0,0,0,0-1 yrs,3K-6K,Very High,Better
729,44,Yes,Travel_Frequently,132,Research & Development,18,3,Technical Degree,4,Female,67,3,5,Research Director,1.0,Single,10467.0,7837,1,No,14,3,4,1,21,2,2,6.0,4,2,3,1,4-6 yrs,10K-15K,Low,Good
730,47,No,Travel_Rarely,715,Human Resources,7,4,Life Sciences,3,Female,39,2,3,Human Resources,2.0,Single,10825.0,10430,5,No,18,4,3,0,27,3,3,11.0,4,4,5,0,10+ yrs,10K-15K,Medium,Better
731,31,No,Non-Travel,406,Research & Development,8,2,Technical Degree,3,Female,40,3,4,Research Director,4.0,Married,9628.0,16094,4,No,13,3,2,3,7,5,3,7.0,6,4,3,0,7-10 yrs,6K-10K,Very High,Better
732,38,No,Travel_Frequently,356,Research & Development,15,2,Life Sciences,4,Male,31,3,3,Manufacturing Director,2.0,Married,8223.0,22119,2,No,16,3,2,0,18,1,3,3.0,3,3,2,0,2-3 yrs,6K-10K,Medium,Better
733,33,No,Travel_Rarely,1310,Research & Development,1,1,Marketing,1,Female,33,3,4,Manufacturing Director,1.0,Married,11582.0,3524,1,No,11,3,2,0,11,1,2,6.0,2,1,6,0,4-6 yrs,10K-15K,Low,Good
734,28,No,Travel_Rarely,1161,Research & Development,3,3,Technical Degree,2,Female,86,2,4,Manufacturing Director,4.0,Married,11020.0,3906,0,No,19,3,2,0,5,1,3,5.0,3,3,5,0,4-6 yrs,10K-15K,Very High,Better
735,35,No,Travel_Rarely,947,Human Resources,9,3,Life Sciences,1,Male,84,3,3,Manager,4.0,Married,7887.0,9909,2,No,16,4,3,0,14,3,3,10.0,6,3,3,0,7-10 yrs,6K-10K,Very High,Better
736,32,No,Travel_Rarely,595,Human Resources,4,3,Marketing,4,Female,49,2,3,Human Resources,4.0,Divorced,11406.0,8752,2,Yes,13,4,4,0,11,2,4,5.0,3,4,0,0,4-6 yrs,10K-15K,Very High,Best
737,53,Yes,Travel_Rarely,212,Research & Development,4,2,Life Sciences,3,Male,93,4,5,Manufacturing Director,4.0,Single,11967.0,26928,4,No,15,3,2,2,31,5,2,7.0,5,2,6,1,7-10 yrs,10K-15K,Very High,Good
738,48,No,Travel_Rarely,1070,Research & Development,29,3,Marketing,4,Male,87,3,1,Laboratory Technician,1.0,Single,5427.0,14035,5,No,12,3,4,1,27,5,3,6.0,6,4,0,0,4-6 yrs,3K-6K,Low,Better
739,25,Yes,Non-Travel,180,Research & Development,14,2,Life Sciences,4,Male,66,3,3,Manufacturing Director,2.0,Married,11117.0,11578,3,No,16,3,4,3,4,5,2,4.0,3,3,4,1,4-6 yrs,10K-15K,Medium,Good
740,44,Yes,Travel_Frequently,1016,Research & Development,9,4,Medical,1,Female,48,3,3,Research Director,4.0,Divorced,9751.0,17297,4,No,11,3,4,0,23,3,4,9.0,1,2,7,1,7-10 yrs,6K-10K,Very High,Best
741,38,Yes,Travel_Rarely,615,Research & Development,10,3,Life Sciences,4,Male,90,2,2,Manufacturing Director,3.0,Divorced,7257.0,13944,0,Yes,15,4,4,1,15,2,3,7.0,3,3,3,1,7-10 yrs,6K-10K,High,Better
742,25,Yes,Non-Travel,1106,Research & Development,4,4,Medical,2,Male,45,3,3,Research Director,1.0,Married,8281.0,23161,3,No,14,3,2,1,4,1,1,4.0,2,1,4,1,4-6 yrs,6K-10K,Low,Bad
743,24,Yes,Travel_Frequently,596,Research & Development,15,2,Life Sciences,4,Male,84,3,3,Research Director,3.0,Single,7551.0,5233,3,No,15,4,4,2,4,1,3,4.0,4,3,3,1,4-6 yrs,6K-10K,High,Better
744,54,No,Travel_Rarely,605,Sales,1,2,Life Sciences,3,Male,89,3,4,Manager,2.0,Married,13474.0,18450,3,Yes,15,3,3,0,30,1,3,3.0,3,2,3,0,2-3 yrs,10K-15K,Medium,Better
745,45,Yes,Travel_Rarely,1466,Research & Development,2,3,Technical Degree,3,Female,39,2,1,Manager,1.0,Married,6262.0,17018,3,No,16,3,3,1,21,5,3,6.0,1,2,4,1,4-6 yrs,6K-10K,Low,Better
746,38,No,Travel_Rarely,1480,Research & Development,6,2,Medical,4,Female,54,4,5,Laboratory Technician,2.0,Divorced,14097.0,7823,3,No,17,3,3,1,15,4,3,7.0,5,2,4,0,7-10 yrs,10K-15K,Medium,Better
747,47,No,Travel_Rarely,657,Research & Development,6,3,Other,2,Female,58,3,2,Manufacturing Director,3.0,Married,10109.0,6517,3,Yes,11,3,4,0,25,1,3,8.0,2,0,3,0,7-10 yrs,10K-15K,High,Better
748,42,No,Travel_Rarely,144,Research & Development,7,2,Medical,3,Male,77,1,4,Research Scientist,4.0,Married,10162.0,9518,1,No,18,4,3,1,18,2,2,10.0,4,2,8,0,7-10 yrs,10K-15K,Very High,Good
749,25,No,Travel_Frequently,656,Research & Development,1,3,Life Sciences,3,Male,83,2,2,Healthcare Representative,4.0,Married,6895.0,9253,3,No,13,4,1,0,4,3,3,4.0,2,3,4,0,4-6 yrs,6K-10K,Very High,Better
750,34,No,Travel_Rarely,235,Research & Development,6,1,Technical Degree,4,Female,92,3,5,Research Director,1.0,Married,13901.0,17895,0,No,21,3,2,1,12,1,3,12.0,7,3,4,0,10+ yrs,10K-15K,Low,Better
751,33,No,Travel_Rarely,671,Sales,16,2,Life Sciences,4,Female,99,3,4,Sales Representative,1.0,Divorced,11640.0,6516,5,No,17,3,4,1,12,2,3,6.0,2,2,1,0,4-6 yrs,10K-15K,Low,Better
752,51,No,Travel_Frequently,1221,Research & Development,24,4,Technical Degree,3,Male,53,3,3,Research Director,2.0,Married,9970.0,14677,2,No,16,4,3,1,27,4,3,8.0,5,0,8,0,7-10 yrs,6K-10K,Medium,Better
753,35,No,Travel_Rarely,507,Sales,26,2,Medical,2,Male,56,4,4,Sales Representative,4.0,Married,11246.0,10095,1,No,16,4,1,0,11,6,3,9.0,4,3,4,0,7-10 yrs,10K-15K,Very High,Better
754,29,No,Travel_Rarely,505,Research & Development,2,4,Technical Degree,3,Female,63,2,4,Research Scientist,2.0,Divorced,9322.0,11999,5,No,15,3,4,1,6,4,3,6.0,6,2,6,0,4-6 yrs,6K-10K,Medium,Better
755,40,Yes,Travel_Frequently,851,Research & Development,3,2,Medical,2,Male,30,3,3,Research Scientist,2.0,Divorced,8209.0,19940,4,Yes,21,3,2,0,20,1,2,6.0,3,5,4,1,4-6 yrs,6K-10K,Medium,Good
756,34,Yes,Travel_Frequently,742,Research & Development,7,3,Life Sciences,2,Male,52,3,3,Research Scientist,1.0,Married,9691.0,15879,3,No,13,3,3,1,14,2,3,8.0,4,1,1,1,7-10 yrs,6K-10K,Low,Better
757,36,No,Travel_Rarely,1095,Sales,2,4,Human Resources,3,Female,81,3,4,Manager,2.0,Single,13502.0,12491,4,No,18,3,4,2,16,2,3,10.0,3,2,6,0,7-10 yrs,10K-15K,Medium,Better
758,19,No,Travel_Rarely,395,Research & Development,13,5,Marketing,4,Male,36,4,2,Manager,3.0,Divorced,7691.0,22766,0,No,17,3,3,0,0,3,2,0.0,0,0,0,0,0-1 yrs,6K-10K,High,Good
759,31,No,Travel_Rarely,783,Research & Development,1,5,Life Sciences,4,Male,38,3,2,Research Director,3.0,Single,5171.0,20591,1,No,15,4,4,1,9,2,3,8.0,1,0,7,0,7-10 yrs,3K-6K,High,Better
760,37,No,Travel_Rarely,984,Research & Development,6,3,Marketing,2,Female,43,4,5,Laboratory Technician,2.0,Married,14344.0,24049,3,No,19,3,4,2,16,1,2,12.0,4,3,3,0,10+ yrs,10K-15K,Medium,Good
761,46,Yes,Travel_Frequently,593,Research & Development,9,3,Marketing,1,Female,50,3,1,Healthcare Representative,4.0,Single,2173.0,3389,2,No,13,4,3,0,23,3,3,8.0,4,0,5,1,7-10 yrs,Below 3K,Very High,Better
762,44,No,Travel_Rarely,241,Research & Development,6,3,Marketing,3,Female,93,4,3,Research Scientist,3.0,Married,7478.0,15330,2,Yes,22,3,1,1,23,1,3,9.0,2,2,8,0,7-10 yrs,6K-10K,High,Better
763,44,No,Travel_Rarely,255,Research & Development,1,3,Technical Degree,4,Male,54,3,5,Research Scientist,1.0,Single,13260.0,2638,2,No,14,3,1,0,20,1,2,9.0,4,1,5,0,7-10 yrs,10K-15K,Low,Good
764,18,No,Travel_Rarely,863,Research & Development,12,3,Other,4,Female,86,3,3,Research Director,2.0,Married,7077.0,12071,1,No,15,3,2,0,0,3,3,0.0,0,0,0,0,0-1 yrs,6K-10K,Medium,Better
765,28,No,Travel_Rarely,116,Research & Development,19,4,Life Sciences,3,Male,54,2,4,Research Scientist,3.0,Married,12427.0,9482,0,Yes,18,3,4,0,4,4,3,1.0,1,1,1,0,0-1 yrs,10K-15K,High,Better
766,41,Yes,Travel_Rarely,727,Research & Development,7,2,Life Sciences,3,Female,57,1,3,Manager,4.0,Single,8899.0,5019,2,No,19,3,3,1,19,6,2,8.0,5,0,6,1,7-10 yrs,6K-10K,Very High,Good
767,43,No,Travel_Frequently,731,Research & Development,1,4,Human Resources,4,Male,45,2,3,Healthcare Representative,3.0,Married,6815.0,21762,3,No,15,4,1,2,22,4,3,3.0,3,3,3,0,2-3 yrs,6K-10K,High,Better
768,47,No,Travel_Rarely,1241,Research & Development,4,1,Life Sciences,3,Female,45,3,1,Manufacturing Director,1.0,Married,4725.0,10429,3,No,13,3,1,0,25,5,3,6.0,5,1,6,0,4-6 yrs,3K-6K,Low,Better
769,51,No,Travel_Rarely,1180,Research & Development,1,4,Marketing,4,Female,64,2,2,Healthcare Representative,3.0,Married,6716.0,8817,3,No,11,3,2,0,31,3,2,4.0,4,2,4,0,4-6 yrs,6K-10K,High,Good
770,49,No,Non-Travel,394,Sales,1,2,Technical Degree,2,Male,39,3,3,Sales Executive,4.0,Married,9134.0,22656,3,No,16,3,2,2,28,0,3,11.0,3,1,7,0,10+ yrs,6K-10K,Very High,Better
771,42,No,Travel_Rarely,334,Sales,2,4,Life Sciences,1,Male,57,4,3,Sales Executive,3.0,Married,6441.0,14612,0,No,13,3,3,0,18,4,3,8.0,5,1,5,0,7-10 yrs,6K-10K,High,Better
772,33,No,Travel_Rarely,1078,Research & Development,2,5,Human Resources,3,Male,31,3,3,Laboratory Technician,4.0,Married,6697.0,12473,3,No,18,3,2,0,10,4,2,3.0,3,3,2,0,2-3 yrs,6K-10K,Very High,Good
773,37,No,Travel_Rarely,245,Research & Development,1,4,Human Resources,1,Female,33,2,4,Healthcare Representative,2.0,Single,11461.0,11110,5,No,19,3,3,0,14,3,3,5.0,0,0,3,0,4-6 yrs,10K-15K,Medium,Better
774,34,No,Travel_Rarely,308,Research & Development,4,4,Technical Degree,3,Female,95,3,3,Healthcare Representative,4.0,Married,9507.0,6251,2,No,12,3,3,1,13,3,4,7.0,6,0,5,0,7-10 yrs,6K-10K,Very High,Best
775,47,No,Travel_Rarely,296,Research & Development,11,2,Life Sciences,4,Female,79,3,4,Research Director,4.0,Married,13703.0,8623,4,No,16,3,3,1,27,1,3,8.0,3,1,3,0,7-10 yrs,10K-15K,Very High,Better
776,37,Yes,Travel_Rarely,1264,Sales,3,3,Marketing,2,Female,52,1,3,Manager,4.0,Divorced,8936.0,12338,1,No,16,3,4,0,15,1,3,4.0,1,3,4,1,4-6 yrs,6K-10K,Very High,Better
777,51,No,Travel_Rarely,881,Research & Development,7,3,Human Resources,2,Male,96,2,4,Research Director,4.0,Married,11429.0,18377,1,No,16,3,3,1,29,2,4,9.0,2,0,8,0,7-10 yrs,10K-15K,Very High,Best
